hs_code,hs_code_2,hs_code_4,hs_code_6,hs_code_8,hs_description
03.02.19.00,03,0302,030219,03021900,ساير خانواده ماهي آزاد و قزل آلا (به استثناي 030211، 030213، 030214) تازه يا سرد كرده به استثناي جگر ماهي، تخم ماهي
03.02.19.00,03,0302,030219,03021900,سایر خانواده ماهی آزاد و قزل آلا (به استثنای 030211، 030213، 030214) تازه یا سرد كرده به استثنای جگر ماهی، تخم ماهی
03.02.21.00,03,0302,030221,03022100,ماهی هالیبوت بصورت تازه یا سرد کرده به استثنای فیله و سایر قسمت های گوشتی
03.02.22.00,03,0302,030222,03022200,حلوا ماهیان Plaice (Pleuronectes Platessa) تازه یا سرد كرده به استثنای جگر ماهی، تخم ماهی
03.02.22.00,03,0302,030222,03022200,حلوا ماهيان Plaice (Pleuronectes Platessa) تازه يا سرد كرده به استثناي جگر ماهي، تخم ماهي
03.02.29.00,03,0302,030229,03022900,ساير ماهي هاي پهن، تازه يا سرد کرده بجز جگر و تخم ماهي به استثناي توربوت، حلوا ماهيان، کفشک ماهيان
03.02.29.00,03,0302,030229,03022900,سایر ماهی های پهن، تازه یا سرد کرده بجز جگر و تخم ماهی به استثنای توربوت، حلوا ماهیان، کفشک ماهیان
03.02.32.00,03,0302,030232,03023200,
03.02.39.00,03,0302,030239,03023900,ساير ماهي هاي تن، تازه يا سرد کرده که در جاي ديگري مذکور يا مشمول نباشد
03.02.39.00,03,0302,030239,03023900,سایر ماهی های تن، تازه یا سرد کرده که در جای دیگری مذکور یا مشمول نباشد
03.02.42.00,03,0302,030242,03024200,ماهی آنچوی تازه یا سرد کرده به استثنای فیله ماهی و سایر قسمت های گوشتی ماهی مشمول شماره 0304
03.02.47.00,03,0302,030247,03024700,شمشیر ماهی یا نیزه ماهی تازه یا سردکرده به استثنای فیله ماهی و سایر قسمت های گوشتی ماهی مشمول 0304
03.02.49.00,03,0302,030249,03024900,سا?ر
03.02.59.00,03,0302,030259,03025900,ساير
03.02.59.00,03,0302,030259,03025900,سایر
03.02.71.00,03,0302,030271,03027100,تيلاپيا (Oreochromis spp.) به استثناي جگر ماهي، تخم ماهي
03.02.72.00,03,0302,030272,03027200,کد کالا 030272
03.02.73.00,03,0302,030273,03027300,انواع ماهی كپور (Cyprinus carpio، carassius carassius، ctenopharyngodon idellus، Hypopthalmichthys spp، Cirrhinus spp،Mylopharyngodon piceus)، به استثنای جگر ماهی، تخم ماهی
03.02.73.00,03,0302,030273,03027300,انواع ماهي كپور (Cyprinus carpio، carassius carassius، ctenopharyngodon idellus، Hypopthalmichthys spp، Cirrhinus spp،Mylopharyngodon piceus)، به استثناي جگر ماهي، تخم ماهي
03.02.79.00,03,0302,030279,03027900,ساير ماهي ها، تازه يا سرد کرده غير مذكور در رديفهاي 030271، 030272، 030273، 030274
03.02.79.00,03,0302,030279,03027900,سایر ماهی ها، تازه یا سرد کرده غیر مذكور در ردیف های 030271، 030272، 030273، 030274
03.02.82.00,03,0302,030282,03028200,سفره ماهي (Rajidae)
03.02.84.00,03,0302,030284,03028400,ماهی سیکباس (Dicentrarchus spp.)
03.02.84.00,03,0302,030284,03028400,ماهي سيکباس (Dicentrarchus spp.)
03.02.89.00,03,0302,030289,03028900,ساير ماهي ها به غير از جگر و تخم ماهي غير مذكور در تعرفه هاي 030281، 030282، 030283، 030284، 030285
03.02.89.00,03,0302,030289,03028900,سایر ماهی ها به غیر از جگر و تخم ماهی غیر مذكور در تعرفه های 030281، 030282، 030283، 030284، 030285
03.02.91.00,03,0302,030291,03029100,جگر، تخم و منی ماهی به صورت تازه یا سرد کرده
03.02.91.00,03,0302,030291,03029100,جگر، تخم و منی ماهی بصورت تازه یا سرد کرده
03.02.99.00,03,0302,030299,03029900,سا?ر
